OBJECTID_1,OBJECTID,permit_no,PROJTITLE,START_DATE,FINISH_DAT,STREET_NAM,PAVED_DATE,SHAPE_Length
6271,7877,15-0349-18781,"Rehabilitation of Localized Streets, Phase 19D (Village Park), 19E (Waipio, Waikele), 19F (Waipahu)",2016/09/06 00:00:00+00,2018/03/26 00:00:00+00,Nuao Pl,2017/08/30 00:00:00+00,0.00327229671195543
6272,7878,10-0464-20289,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #1,2016/03/07 00:00:00+00,2017/01/20 00:00:00+00,Kolowaka Dr,2017/08/31 00:00:00+00,0.00318433539828281
6273,7879,15-0152-20290,"Rehabilitation of Localized Streets, Phase 16B (Campbell Industrial Park and Kalaeloa areas)",2018/02/15 00:00:00+00,2019/01/16 00:00:00+00,Kapolei Pkwy,2019/01/11 00:00:00+00,0.00367753431034873
6274,7880,15-0471-20292,"Rehabilitation of Localized Streets, Phase 14C (Maunalani Heights)",2019/01/14 00:00:00+00,2020/01/13 00:00:00+00,13th Ave,2019/05/22 00:00:00+00,0.00185066050809607
6275,7881,15-0471-20293,"Rehabilitation of Localized Streets, Phase 14C (Maunalani Heights)",2019/01/14 00:00:00+00,2020/01/13 00:00:00+00,Anuhea St,2020/02/21 00:00:00+00,0.00580224574939435
6276,7882,15-0471-20294,"Rehabilitation of Localized Streets, Phase 14C (Maunalani Heights)",2019/01/14 00:00:00+00,2020/01/13 00:00:00+00,Claudine St,2019/05/28 00:00:00+00,0.00187751986819674
6277,7883,15-0471-20295,"Rehabilitation of Localized Streets, Phase 14C (Maunalani Heights)",2019/01/14 00:00:00+00,2020/01/13 00:00:00+00,Iwi  Way,2019/08/27 00:00:00+00,0.00640104337211874
6278,7884,15-0471-20296,"Rehabilitation of Localized Streets, Phase 14C (Maunalani Heights)",2019/01/14 00:00:00+00,2020/01/13 00:00:00+00,Lanihale Pl,2019/07/05 00:00:00+00,0.000593644684864105
6279,7885,15-0471-20297,"Rehabilitation of Localized Streets, Phase 14C (Maunalani Heights)",2019/01/14 00:00:00+00,2020/01/13 00:00:00+00,Monterey Dr,2019/12/30 00:00:00+00,0.00255783719296241
6280,7886,15-0471-20298,"Rehabilitation of Localized Streets, Phase 14C (Maunalani Heights)",2019/01/14 00:00:00+00,2020/01/13 00:00:00+00,Niele Pl,2019/08/21 00:00:00+00,0.00131039119668568
6281,7888,15-0349-16860,"Rehabilitation of Localized Streets, Phase 19D (Village Park), 19E (Waipio, Waikele), 19F (Waipahu)",2016/09/06 00:00:00+00,2018/03/26 00:00:00+00,Akoki St,2017/09/27 00:00:00+00,0.00331685608782983
6282,7889,15-0349-17107,"Rehabilitation of Localized Streets, Phase 19D (Village Park), 19E (Waipio, Waikele), 19F (Waipahu)",2016/09/06 00:00:00+00,2018/03/26 00:00:00+00,Lauko St,2017/09/28 00:00:00+00,0.00065381703184712
6283,7890,15-0349-17118,"Rehabilitation of Localized Streets, Phase 19D (Village Park), 19E (Waipio, Waikele), 19F (Waipahu)",2016/09/06 00:00:00+00,2018/03/26 00:00:00+00,Leoleo St,2017/09/29 00:00:00+00,0.00268698198263831
6284,7891,15-0349-17121,"Rehabilitation of Localized Streets, Phase 19D (Village Park), 19E (Waipio, Waikele), 19F (Waipahu)",2016/09/06 00:00:00+00,2018/03/26 00:00:00+00,Leonui St,2017/10/03 00:00:00+00,0.00805246848582791
6285,7892,15-0349-17122,"Rehabilitation of Localized Streets, Phase 19D (Village Park), 19E (Waipio, Waikele), 19F (Waipahu)",2016/09/06 00:00:00+00,2018/03/26 00:00:00+00,Leoole St,2017/10/05 00:00:00+00,0.00376085632807037
6286,7893,15-0349-17123,"Rehabilitation of Localized Streets, Phase 19D (Village Park), 19E (Waipio, Waikele), 19F (Waipahu)",2016/09/06 00:00:00+00,2018/03/26 00:00:00+00,Leowaena St,2017/09/25 00:00:00+00,0.00313236171564126
6287,7894,15-0349-17241,"Rehabilitation of Localized Streets, Phase 19D (Village Park), 19E (Waipio, Waikele), 19F (Waipahu)",2016/09/06 00:00:00+00,2018/03/26 00:00:00+00,Ukee St,2017/09/28 00:00:00+00,0.00481128842744165
6288,7895,15-0349-18761,"Rehabilitation of Localized Streets, Phase 19D (Village Park), 19E (Waipio, Waikele), 19F (Waipahu)",2016/09/06 00:00:00+00,2018/03/26 00:00:00+00,Managers Dr,2017/09/12 00:00:00+00,0.00224394862781554
6289,7896,15-0349-18762,"Rehabilitation of Localized Streets, Phase 19D (Village Park), 19E (Waipio, Waikele), 19F (Waipahu)",2016/09/06 00:00:00+00,2018/03/26 00:00:00+00,Managers Dr,2017/09/12 00:00:00+00,0.00410866073075328
6290,7897,15-0349-18764,"Rehabilitation of Localized Streets, Phase 19D (Village Park), 19E (Waipio, Waikele), 19F (Waipahu)",2016/09/06 00:00:00+00,2018/03/26 00:00:00+00,Mokuola St,2017/10/02 00:00:00+00,0.00192986124107156
6291,7898,15-0349-18784,"Rehabilitation of Localized Streets, Phase 19D (Village Park), 19E (Waipio, Waikele), 19F (Waipahu)",2016/09/06 00:00:00+00,2018/03/26 00:00:00+00,Ukee St,2017/09/28 00:00:00+00,0.00640406452975599
6292,7899,15-0349-18779,"Rehabilitation of Localized Streets, Phase 19D (Village Park), 19E (Waipio, Waikele), 19F (Waipahu)",2016/09/06 00:00:00+00,2018/03/26 00:00:00+00,Noheaiki St,2017/09/05 00:00:00+00,0.00327229671195543
6293,7901,15-0349-16960,"Rehabilitation of Localized Streets, Phase 19D (Village Park), 19E (Waipio, Waikele), 19F (Waipahu)",2016/09/06 00:00:00+00,2018/03/26 00:00:00+00,Hoomele Pl,2017/07/10 00:00:00+00,0.000873170973267791
6294,7902,15-0349-17000,"Rehabilitation of Localized Streets, Phase 19D (Village Park), 19E (Waipio, Waikele), 19F (Waipahu)",2016/09/06 00:00:00+00,2018/03/26 00:00:00+00,Kaao Pl,2017/07/10 00:00:00+00,0.000884424910742518
6295,7903,15-0349-17046,"Rehabilitation of Localized Streets, Phase 19D (Village Park), 19E (Waipio, Waikele), 19F (Waipahu)",2016/09/06 00:00:00+00,2018/03/26 00:00:00+00,Kepakepa Pl,2017/07/11 00:00:00+00,0.000746571874427183
6296,7904,15-0349-17047,"Rehabilitation of Localized Streets, Phase 19D (Village Park), 19E (Waipio, Waikele), 19F (Waipahu)",2016/09/06 00:00:00+00,2018/03/26 00:00:00+00,Kepakepa St,2017/07/11 00:00:00+00,0.00193007774386459
6297,7905,15-0344-18718,"Rehabilitation of Localized Streets, Phase 19B (Newtown, Pacific Palisades) & 19C (Pearl City)",2016/09/06 00:00:00+00,2017/06/02 00:00:00+00,Kaluamoi Pl,2017/10/19 00:00:00+00,0.00368456398175183
6298,7906,15-0349-18754,"Rehabilitation of Localized Streets, Phase 19D (Village Park), 19E (Waipio, Waikele), 19F (Waipahu)",2016/09/06 00:00:00+00,2018/03/26 00:00:00+00,Honowai St,2017/08/01 00:00:00+00,0.0054735805570418
6299,7907,15-0349-18773,"Rehabilitation of Localized Streets, Phase 19D (Village Park), 19E (Waipio, Waikele), 19F (Waipahu)",2016/09/06 00:00:00+00,2018/03/26 00:00:00+00,Lumipolu St,2017/07/11 00:00:00+00,0.00275237410107065
6300,7908,15-0167-20301,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #4,2017/08/11 00:00:00+00,2018/08/05 00:00:00+00,Kapaa Quarry Rd,2017/09/28 00:00:00+00,0.0376180308673428
6301,7909,15-0167-20302,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #4,2017/08/11 00:00:00+00,2018/08/05 00:00:00+00,Keaalii Pl,2017/10/16 00:00:00+00,0.00163572759780213
6302,7910,15-0167-20303,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #4,2017/08/11 00:00:00+00,2018/08/05 00:00:00+00,Keaalii Way,2017/10/16 00:00:00+00,0.00155553888878528
6303,7911,15-0167-20304,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #4,2017/08/11 00:00:00+00,2018/08/05 00:00:00+00,Kuhaimoana Pl,2017/10/12 00:00:00+00,0.00150601623890069
6304,7912,15-0167-20305,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #4,2017/08/11 00:00:00+00,2018/08/05 00:00:00+00,Kupipi Pl,2017/10/12 00:00:00+00,0.00161221454414885
6305,7913,15-0167-20306,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #4,2017/08/11 00:00:00+00,2018/08/05 00:00:00+00,Lukahiu Pl,2017/10/12 00:00:00+00,0.00153523673957889
6306,7914,15-0167-20307,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #4,2017/08/11 00:00:00+00,2018/08/05 00:00:00+00,Kolowaka Dr,2017/10/17 00:00:00+00,0.00124994265658901
6307,7915,17-0710-20310,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Ahui St,,0.00131625886908114
6308,7916,17-0710-20311,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Ahui St,,0.00145469509073224
6309,7917,17-0710-20312,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Auahi St,,0.00139577625884785
6310,7918,17-0710-20313,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Auahi St,,0.00298582018081104
6311,7919,17-0710-20314,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Auahi St,,0.00698514429529553
6312,7920,17-0710-20315,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Cooke St,,0.00194360901699951
6313,7921,17-0710-20316,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Cooke St,,0.00434857205816466
6314,7922,17-0710-20317,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Cooke St,,0.00372389386225782
6315,7923,17-0710-20318,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Coral St,,0.00147135002076215
6316,7924,17-0710-20319,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Coral St,,0.00294505522736216
6317,7925,17-0710-20320,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Coral St,,0.00162947263994818
6318,7926,17-0710-20321,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Curtis St,,0.00168872073980879
6319,7927,17-0710-20322,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Emily St,,0.000991652156205186
6320,7931,17-0710-20326,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Kamani St,,0.00211458406715816
6321,7932,17-0710-20327,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Kamani St,,0.00210141816614689
6322,7933,17-0710-20328,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Kawaiahao St,,0.00417834737231235
6323,7934,17-0710-20329,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Keawe St,,0.00590161205528604
6324,7935,17-0710-20330,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Keawe St,,0.00164029521676765
6325,7936,17-0710-20331,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Koula St,,0.00294263654320601
6326,7938,17-0710-20334,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Mission Ln,,0.00153263808640058
6327,7939,17-0710-20336,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Pohukaina St,,0.000816851512145374
6328,7940,17-0710-20337,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Pohukaina St,,0.00152819390291519
6329,7941,17-0710-20335,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Pohukaina St,,0.00560901260432384
6330,7943,17-0710-20339,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Queen St,,0.000839247116866779
6331,7944,17-0710-20340,"Rehabilitation of Localized Streets, Phase 12E (Kakaako Area)",1899/12/30 00:00:00+00,1899/12/30 00:00:00+00,Reed Ln,,0.00125192056204399
6332,7946,15-0167-20342,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #4,2017/08/11 00:00:00+00,2018/08/05 00:00:00+00,Kahiuka St,2017/10/27 00:00:00+00,0.00457221653829819
6333,7947,15-0167-20343,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #4,2017/08/11 00:00:00+00,2018/08/05 00:00:00+00,Kahiuka St,2017/11/02 00:00:00+00,0.00504086281429688
6334,7948,15-0344-20362,"Rehabilitation of Localized Streets, Phase 19B (Newtown, Pacific Palisades) & 19C (Pearl City)",2016/09/06 00:00:00+00,2017/06/02 00:00:00+00,Hoohai St,2018/01/12 00:00:00+00,0.003690385299472
6335,7950,15-0167-16513,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #4,2017/08/11 00:00:00+00,2018/08/05 00:00:00+00,Geiger Rd,2017/11/29 00:00:00+00,0.0056298161042541
6336,7953,15-0344-17068,"Rehabilitation of Localized Streets, Phase 19B (Newtown, Pacific Palisades) & 19C (Pearl City)",2016/09/06 00:00:00+00,2017/06/02 00:00:00+00,Komo Mai Dr,2018/11/22 00:00:00+00,0.0198460931428344
6337,7954,15-0344-17070,"Rehabilitation of Localized Streets, Phase 19B (Newtown, Pacific Palisades) & 19C (Pearl City)",2016/09/06 00:00:00+00,2017/06/02 00:00:00+00,Komo Mai Dr,2018/04/18 00:00:00+00,0.00302521503323153
6338,7955,14-1356-18548,"Rehabilitation of Localized Streets, Phase 19A (Aiea, Halawa)",2017/09/21 00:00:00+00,2018/09/20 00:00:00+00,Mikalemi St,2018/12/14 00:00:00+00,0.000122791953729854
6339,7961,18-0002-20627,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Nohu St,2018/10/02 00:00:00+00,0.00090466810225716
6340,7962,18-0002-20628,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Papai St,2018/08/20 00:00:00+00,0.00339547193593103
6341,7963,18-0002-20629,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,W Hind Dr,2018/10/10 00:00:00+00,0.00845772324696821
6342,7964,18-0002-20630,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Beach Rd,2018/07/12 00:00:00+00,0.00124928444706135
6343,7965,18-0002-20631,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Gail St,2018/07/11 00:00:00+00,0.00164884323954998
6344,7966,18-0002-20632,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Noela Pl,2018/06/28 00:00:00+00,0.00138925994336016
6345,7967,18-0002-20633,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Diamond Head Rd,2018/07/17 00:00:00+00,0.00420712102368023
6346,7968,18-0002-20634,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Moho St,2018/10/12 00:00:00+00,0.00194857032150716
6347,7969,18-0002-20635,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Papu Cir,2018/10/29 00:00:00+00,0.00675208086508695
6348,7970,18-0002-20636,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,10TH Ave,2018/07/19 00:00:00+00,0.00261115958293797
6349,7971,18-0002-20637,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,11th Ave,2018/07/18 00:00:00+00,0.00272270913937681
6350,7972,18-0002-20638,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,5th Ave,2018/07/20 00:00:00+00,0.000629165332186342
6351,7974,18-0002-20640,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Harding Ave,2018/08/03 00:00:00+00,0.00523070057937784
6352,7975,18-0002-20641,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Luawai St,2018/08/16 00:00:00+00,0.00558421331838611
6353,7976,18-0002-20642,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Kealaolu Ave,2018/10/23 00:00:00+00,0.0101862200025857
6354,7977,18-0002-20643,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Mahana St,2018/08/02 00:00:00+00,0.000900631393437942
6355,7979,18-0002-20645,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Mokauea St,2018/11/14 00:00:00+00,0.00502357763035672
6356,7980,18-0002-20646,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Bachelot St,2018/06/05 00:00:00+00,0.00491340452965311
6357,7982,18-0002-20648,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Ahulili St,2018/05/15 00:00:00+00,0.00183279754610285
6358,7983,18-0002-20649,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Halehaku Pl,2018/05/15 00:00:00+00,0.000292943356962756
6359,7984,18-0002-20650,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Haloku Pl,2018/05/16 00:00:00+00,0.00110248806368624
6360,7985,18-0002-20651,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Haloku St,2018/05/17 00:00:00+00,0.0043531741792947
6361,7986,18-0002-20652,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Holokia Pl,2018/05/16 00:00:00+00,0.000589669049791073
6362,7987,18-0002-20653,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Hololani St,2018/05/10 00:00:00+00,0.00251161857572148
6363,7988,18-0002-20654,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Hololea St,2018/05/18 00:00:00+00,0.00213431093001217
6364,7989,18-0002-20655,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Kahanui St,2018/05/10 00:00:00+00,0.000969267977032216
6365,7990,18-0002-20656,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Kamalino St,2018/05/17 00:00:00+00,0.00270589920299981
6366,7991,18-0002-20657,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Ala Kiao Pl,2018/05/09 00:00:00+00,0.00040819878653433
6367,7992,18-0002-20658,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Ala Lani Pl,2018/05/09 00:00:00+00,0.000723453777081589
6368,7993,18-0002-20659,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Ala Noe Pl,2018/05/08 00:00:00+00,0.00265835954756881
6369,7994,18-0002-20660,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Ala Noe Way,2018/05/01 00:00:00+00,0.00114294223889392
6370,7995,18-0002-20661,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Ala Uwila Pl,2018/05/01 00:00:00+00,0.000963336709719722
6371,7996,18-0002-20662,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Anolani St,2018/11/07 00:00:00+00,0.00961083933049862
6372,7997,18-0002-20663,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Anolike Pl,2018/11/01 00:00:00+00,0.000490074280634466
6373,7998,18-0002-20664,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Anolike St,2018/11/01 00:00:00+00,0.00212279043068622
6374,7999,18-0002-20665,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Anonia St,2018/10/31 00:00:00+00,0.00197726329039679
6375,8000,18-0002-20667,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Crozier Dr,2018/11/20 00:00:00+00,0.0132595243648737
6376,8002,18-0002-20669,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Boyd Ln,2019/07/15 00:00:00+00,0.00130580296749731
6377,8003,18-0002-20670,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Iolani Ave,2018/06/21 00:00:00+00,0.00546372454572703
6378,8004,18-0002-20671,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Lusitana St,2018/06/27 00:00:00+00,0.00820028669541021
6379,8005,18-0002-20672,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Ala Ilima St,2018/04/10 00:00:00+00,0.00655291106483118
6380,8006,18-0002-20673,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Ala Puumalu St,2018/04/18 00:00:00+00,0.010340808918628
6381,8007,18-0002-20674,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Camp Catlin Rd,2018/04/12 00:00:00+00,0.00330703956532608
6382,8008,18-0002-20675,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Kalaloa St,2018/04/24 00:00:00+00,0.0046292289634118
6383,8009,18-0002-20676,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Likini St,2018/03/13 00:00:00+00,0.00332465537356565
6384,8010,18-0002-20677,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Likini St,2018/03/29 00:00:00+00,0.0283925297541299
6385,8011,18-0002-20678,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Likini St,2018/03/28 00:00:00+00,0.00321163507832138
6386,8012,18-0002-20679,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Onipaa St,2018/04/25 00:00:00+00,0.00548957686947143
6387,8013,18-0002-20680,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Onipaa St,2018/05/04 00:00:00+00,0.00691514819279378
6388,8014,18-0002-20681,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #5,2017/12/30 00:00:00+00,2018/10/25 00:00:00+00,Pineapple Pl,2018/04/25 00:00:00+00,0.00556582058420612
